Unnamed: 0,Close,High,Low,Open,Volume,RSI,MACD,MA_20
2023-03-02,1061.833984375,1073.5203549354069,1059.802538079039,1066.8326656493814,9333535,39.532594097157734,-9.542606278917447,1080.381414794922
2023-03-03,1088.927001953125,1092.6018137297042,1068.909698230002,1072.3789987479977,14643807,49.778888060240064,-8.068869568106038,1081.6687316894531
2023-03-06,1099.5633544921875,1106.8216933590495,1095.5918675399987,1095.5918675399987,10171916,53.13628157403376,-5.973795651184901,1083.888446044922
2023-03-08,1103.5120849609375,1104.265304210858,1088.7443751303776,1099.5632986303583,15782657,54.35624480384085,-3.9492800874154455,1086.432275390625
2023-03-09,1076.9896240234375,1103.3066574341256,1075.095225544964,1102.8958764013148,16235128,45.742852121849154,-4.433866998708254,1086.598895263672
2023-03-10,1060.3048095703125,1070.0281981219273,1056.8125666742676,1068.887018825526,13334091,41.30825752747295,-6.093983059386801,1085.8376953125
2023-03-13,1042.866455078125,1070.027990166369,1038.5297089513683,1063.1805534779228,12771592,37.244214422771975,-8.716290495940257,1084.6473693847656
2023-03-14,1038.9635009765625,1052.2018311560978,1035.8136967949142,1040.812257084253,16027522,36.381485257055395,-10.982820689422397,1083.5654724121093
2023-03-15,1021.205810546875,1049.1662111592916,1016.800600298463,1042.6840329673732,21728555,32.673108604040294,-14.049999756320176,1080.3460327148437
2023-03-16,1016.1157836914062,1028.943333036388,1005.2968594074098,1023.921951504309,18363159,31.676423805279583,-16.69898834983792,1075.6429779052735
2023-03-17,1014.837646484375,1028.007512952856,1010.0900587449328,1024.720781814394,34014213,31.417257973769694,-18.686064565265042,1070.9193756103516
2023-03-20,1004.8632202148438,1013.422547157944,995.1626537042278,1011.140068022912,19524589,29.395985971683615,-20.825624783294188,1065.4653869628905
2023-03-21,1036.1102294921875,1038.0732119172071,1012.0528577510236,1012.943003930346,21400360,41.98762686223625,-19.771950427337515,1062.1626281738281
2023-03-22,1039.2601318359375,1046.0391051865406,1036.247254791225,1043.0946916431246,10920094,43.089467790397066,-18.469826452344932,1058.5677124023437
2023-03-23,1026.1131591796875,1036.2016854580306,1023.9447859117854,1035.3343603002547,16249370,39.70021127184473,-18.287922849617416,1055.5753784179688
