Unnamed: 0,Close,High,Low,Open,Volume,RSI,MACD,MA_20,Return,MA_20_ratio,Close_Open,High_Low,Volume_ratio,Volatility,Momentum_Factor,Market_Regime,Date,Sentiment,Event,RAG_Sentiment,RAG_Relevance,RAG_Event_Importance,RAG_Market_Impact,RAG_Risk_Score,RAG_Confidence,Target
2023-05-16,1120.1514892578125,1141.0589403639667,1118.485181669263,1138.5026071786638,8717229,58.758467043534054,17.895174965919978,1104.442205810547,-0.01424117909301359,0.014223726116783464,-0.01611864373883809,0.020182438770457223,0.03778733599608031,0.008636658565471609,0,3,2023-05-16,0.1675,0,0.1675,0.3832,0.5,0.0321,0.0,0.3519,0
2023-05-17,1113.5321044921875,1125.2639949628326,1108.8302198375738,1124.3510275803587,8798967,55.36504823328493,16.05188671196629,1106.7007202148438,-0.005909365678753775,0.006172747656672195,-0.009622371326020729,0.014820821827588704,0.026294345261409058,0.008359362977748454,0,0,2023-05-17,0.1675,0,0.1675,0.3832,0.5,0.0321,0.0,0.3519,0
2023-05-18,1111.1357421875,1121.6123498838558,1107.9858169299096,1118.21139175125,10525531,54.14591206350293,14.233624714198868,1108.573504638672,-0.0021520370135895694,0.0023112924295112247,-0.006327649329943452,0.012298472368268865,0.20119340904133343,0.007486377395341324,1,0,2023-05-18,0.1675,0,0.1675,0.3832,0.5,0.0321,0.0,0.3519,1
2023-05-19,1114.741943359375,1116.5679991928369,1104.1968724046772,1111.1357155261294,8050447,55.72588123663277,12.934528089041123,1110.7624084472657,0.003245509108342981,0.003582705790045937,0.003245533180920246,0.011203732864428773,-0.0739105571049341,0.007538038961285598,1,0,2023-05-19,0.1675,0,0.1675,0.3832,0.5,0.0321,0.0,0.3519,1
2023-05-22,1120.69921875,1125.7207212869755,1110.3596592183865,1111.5693019532655,7434906,58.28308396668026,12.244539561015472,1113.1818420410157,0.00534408472392478,0.006753053656715524,0.008213538085921623,0.013834312099740842,-0.12746700527868593,0.006523963550886765,0,0,2023-05-22,0.1675,0,0.1675,0.3832,0.5,0.0321,0.0,0.3519,0
2023-05-23,1120.4937744140625,1126.6336347127256,1119.0786204739588,1123.2784399572938,6092034,58.15832886016563,11.548022624099758,1115.3855773925782,-0.0001833179969257248,0.0045797588968521374,-0.002479051893257367,0.006751102291246536,-0.2819208082122435,0.006395059206714056,0,0,2023-05-23,0.1675,0,0.1675,0.3832,0.5,0.0321,0.0,0.3519,0
2023-05-24,1113.9658203125,1124.8076864197674,1110.861658447196,1116.545095308795,8112254,54.18919189704545,10.34996859848161,1116.8509338378906,-0.005825961955903014,-0.0025832574768741567,-0.0023100499989940904,0.012554243695894307,-0.011639818517800493,0.0059003889147437785,0,0,2023-05-24,0.1675,0,0.1675,0.3832,0.5,0.0321,0.0,0.3519,0
2023-05-25,1113.8289794921875,1117.9603357408223,1102.9187697829475,1111.0672556833676,11487863,54.10583308534447,9.282457845183444,1118.6278503417968,-0.00012284113014715548,-0.004289961892279925,0.0024856495362390874,0.013637963529113728,0.3839479042450349,0.0057312923105969785,1,0,2023-05-25,0.1675,0,0.1675,0.3832,0.5,0.0321,0.0,0.3519,1
2023-05-26,1144.2088623046875,1145.3500415058625,1118.7591533794464,1122.0687058844728,12626260,66.44635763599359,10.76377246117272,1121.5825317382812,0.027275177223661906,0.02017357610887438,0.01973155146748584,0.02376819715493972,0.4238189013626408,0.01082400121043804,1,3,2023-05-26,0.1675,0,0.1675,0.3832,0.5,0.0321,0.0,0.3519,1
2023-05-29,1150.6453857421875,1154.9364899661489,1144.5283465169668,1150.8279550929285,10010304,68.38593209034406,12.315137377988776,1123.8673034667968,0.005625304653326557,0.023826729537186786,-0.00015864174130719721,0.009093827584835346,0.08978470002899663,0.010923884209827345,1,3,2023-05-29,0.1675,0,0.1675,0.3832,0.5,0.0321,0.0,0.3519,0
2023-05-30,1150.3486328125,1158.451475420254,1147.7921790871794,1150.645307987406,11342504,68.19022019596026,13.366578177365454,1125.6681823730469,-0.00025790129032332576,0.02192515594375566,-0.00025783373281640376,0.00928678250931414,0.2005054557489665,0.009517072147360079,0,3,2023-05-30,0.1675,0,0.1675,0.3832,0.5,0.0321,0.0,0.3519,0
2023-05-31,1127.5008544921875,1145.7379850828545,1123.438083146388,1141.241490829393,27107927,55.11244730390983,12.215416109417674,1126.8048522949218,-0.01986161209619708,0.0006176776713804344,-0.012040077799151394,0.01984969378464685,1.403397445678488,0.011693865713663477,1,0,2023-05-31,0.1675,0,0.1675,0.3832,0.5,0.0321,0.0,0.3519,0
2023-06-01,1124.4652099609375,1134.3484659204855,1122.068625138698,1132.1800927726736,14592692,53.64048721617578,10.932141807428025,1127.1529296875,-0.002692365614762382,-0.0023845209072984597,-0.006814183415681296,0.010943930261190227,0.24876285961725708,0.01171286578205873,0,0,2023-06-01,0.1675,0,0.1675,0.3832,0.5,0.0321,0.0,0.3519,0
2023-06-02,1120.7904052734375,1133.412563645759,1118.8731857024295,1128.003101699598,15800644,51.83563040682806,9.508997842964163,1127.459918212891,-0.0032680465833422323,-0.005915521103424304,-0.006394216837961486,0.012994661172616828,0.26803428380988126,0.011770816521472325,1,0,2023-06-02,0.1675,0,0.1675,0.3832,0.5,0.0321,0.0,0.3519,1
2023-06-05,1130.8563232421875,1133.8235582589482,1122.274114564264,1126.268543700321,10908682,56.18454767916906,9.08861357380647,1127.58203125,0.008981088632976197,0.0029038171072641727,0.004073433079106792,0.010291107622283802,-0.14829927685541644,0.01198776675651362,1,0,2023-06-05,0.1675,0,0.1675,0.3832,0.5,0.0321,0.0,0.3519,1
2023-06-06,1131.8148193359375,1135.6265579862757,1123.8946668621782,1133.6865172838243,7493309,56.58652491613751,8.732139962157817,1127.5774658203125,0.0008475843253030746,0.0037579267447866993,-0.0016509836884812668,0.010438603785577039,-0.42128762341277803,0.01198120665923222,1,0,2023-06-06,0.1675,0,0.1675,0.3832,0.5,0.0321,0.0,0.3519,1
2023-06-07,1140.3970947265625,1141.241598708449,1128.733545665894,1135.3071289198083,10312545,60.11495136984425,9.037965910549474,1127.612841796875,0.0075827558042227405,0.011337448861717059,0.00448333818849278,0.011081493139442067,-0.2168642767354535,0.011873523299566003,1,0,2023-06-07,0.1675,0,0.1675,0.3832,0.5,0.0321,0.0,0.3519,1
2023-06-08,1141.081787109375,1148.9335976883085,1137.133121023714,1143.9805586437908,12071109,60.39153233848565,9.229195707940562,1128.0545043945312,0.0006003982174092037,0.011548451483588629,-0.002533934263579063,0.010377392449857581,-0.08736098541321013,0.011858568136182784,0,0,2023-06-08,0.1675,0,0.1675,0.3832,0.5,0.0321,0.0,0.3519,0
2023-06-09,1133.001708984375,1145.144501301207,1131.1984746215855,1144.4369244051345,5877018,55.50036259620914,8.62927896705969,1127.9997192382812,-0.007081068347842723,0.004434389176507514,-0.00999200146107082,0.012328540917001085,-0.5317741457485661,0.008329541211306676,1,0,2023-06-09,0.1675,0,0.1675,0.3832,0.5,0.0321,0.0,0.3519,1
2023-06-12,1134.006103515625,1136.311403822295,1125.2641468372988,1130.0574375493186,6391969,55.97765369403616,8.141042007699298,1127.8833129882812,0.0008864898643006214,0.0054285673498633,0.0034942170504799197,0.009817478870224328,-0.4756314231821863,0.008043638773669818,1,0,2023-06-12,0.1675,0,0.1675,0.3832,0.5,0.0321,0.0,0.3519,1
2023-06-13,1150.759521484375,1151.946463788879,1134.9647365494957,1138.959165682283,11248016,63.08920062318226,9.002199760605663,1129.4137145996094,0.014773657669752804,0.01889990054913837,0.010360648702469666,0.014962339086420418,-0.07654722187040441,0.009549746059440303,1,3,2023-06-13,0.1675,0,0.1675,0.3832,0.5,0.0321,0.0,0.3519,1
2023-06-14,1164.9107666015625,1166.3487415549168,1149.0018781974788,1150.8278129732469,13277380,67.81827483590688,10.703181089061673,1131.982647705078,0.012297308736523682,0.029088890155022362,0.01223723781225905,0.015097332464461433,0.22969031510401017,0.007219988566766137,1,3,2023-06-14,0.1675,0,0.1675,0.3832,0.5,0.0321,0.0,0.3519,1
2023-06-15,1165.23046875,1169.7954267696327,1157.4471223513988,1164.888030487722,11813494,67.91827850343054,11.93938849967526,1134.6873840332032,0.0002744434660606476,0.026917620788408314,0.00029396667603709403,0.010668568939156353,0.12301798181469503,0.007004461311060819,1,3,2023-06-15,0.1675,0,0.1675,0.3832,0.5,0.0321,0.0,0.3519,1
2023-06-16,1176.574462890625,1178.856942021871,1168.72265257123,1168.72265257123,24171579,71.32344747671601,13.676799667360456,1137.7790100097657,0.009735408097244713,0.03409752908038466,0.006718283676730996,0.008671252694850473,1.1284337166221516,0.0067937926879671,0,3,2023-06-16,0.1675,0,0.1675,0.3832,0.5,0.0321,0.0,0.3519,0
2023-06-19,1164.8880615234375,1179.5873088461865,1160.7111839901809,1179.5873088461865,6798554,63.8095359465293,13.949909736200423,1139.9884521484375,-0.009932564181680537,0.021841983862269654,-0.012461347466621198,0.016262551025927996,-0.37887207737925266,0.008045647782657058,1,3,2023-06-19,0.1675,0,0.1675,0.3832,0.5,0.0321,0.0,0.3519,1
2023-06-20,1167.3074951171875,1170.457299404325,1157.2189687814275,1162.9480481347905,6921096,64.64007989327695,14.197914780676683,1142.3291381835938,0.0020769665976194673,0.021866164574346314,0.0037486171367577814,0.011439780179923753,-0.36435336503226035,0.008018477452092262,1,3,2023-06-20,0.1675,0,0.1675,0.3832,0.5,0.0321,0.0,0.3519,1
2023-06-21,1170.59423828125,1173.127750027222,1163.1533304634168,1167.2617442064677,6961603,65.78869583807197,14.492611466437438,1145.160559082031,0.002815661835301242,0.022209705877057617,0.002854967269614317,0.008575326487550328,-0.3403313681187602,0.00786398890159562,0,3,2023-06-21,0.1675,0,0.1675,0.3832,0.5,0.0321,0.0,0.3519,0
2023-06-22,1157.4471435546875,1174.702723824018,1155.8494202932393,1166.8053921892115,7619166,57.71290262198534,13.50957012847357,1147.3414672851563,-0.011231128854577332,0.008807906414681543,-0.008020402285736417,0.016311210785567187,-0.24622324671454132,0.009011974386406623,0,0,2023-06-22,0.1675,0,0.1675,0.3832,0.5,0.0321,0.0,0.3519,0
2023-06-23,1147.9749755859375,1156.4885999942844,1146.719569774206,1154.4343325060674,6628570,52.69409926170385,11.829811292066324,1147.5297729492188,-0.008183672162911604,0.0003879660878640667,-0.0055952571213885305,0.00851911005757211,-0.34906441014520984,0.00913402356390562,0,0,2023-06-23,0.1675,0,0.1675,0.3832,0.5,0.0321,0.0,0.3519,0
2023-06-26,1139.2100830078125,1148.2715353178476,1136.0831001245697,1144.436975506937,12641159,48.49188475628994,9.679754547428956,1146.9580078125,-0.007635090280301071,-0.0067551948300744735,-0.004567217427424719,0.0107284715281315,0.16960462947764277,0.009569338628888825,1,0,2023-06-26,0.1675,0,0.1675,0.3832,0.5,0.0321,0.0,0.3519,1
